"x","y"
"2014-08-02 20:00","899617"
"2014-08-03 20:00","909495"
"2014-08-04 20:00","917957"
"2014-08-05 20:00","926369"
"2014-08-06 20:00","934320"
"2014-08-07 20:00","941746"
"2014-08-08 20:00","948908"
"2014-08-09 20:00","956959"
"2014-08-10 20:00","965010"
"2014-08-11 20:00","972839"
"2014-08-12 20:00","981832"
"2014-08-13 20:00","989834"
"2014-08-14 20:00","997252"
"2014-08-15 20:00","1004931"
"2014-08-16 20:00","1012610"
"2014-08-17 20:00","1020222"
"2014-08-18 20:00","1030237"
"2014-08-19 20:00","1042722"
"2014-08-20 20:00","1052202"
"2014-08-21 20:00","1060083"
"2014-08-22 20:00","1067238"
"2014-08-23 20:00","1074984"
"2014-08-24 20:00","1083404"
"2014-08-25 20:00","1091659"
"2014-08-26 20:00","1099818"
"2014-08-27 20:00","1107576"
"2014-08-28 20:00","1114533"
"2014-08-29 20:00","1121370"
"2014-08-30 20:00","1131130"
"2014-08-31 20:00","1143433"
"2014-09-01 20:00","1153991"
"2014-09-02 20:00","1163553"
"2014-09-03 20:00","1173086"
"2014-09-04 20:00","1181302"
"2014-09-05 20:00","1189306"
"2014-09-06 20:00","1197741"
"2014-09-07 20:00","1206327"
"2014-09-08 20:00","1214145"
"2014-09-09 20:00","1221768"
"2014-09-10 20:00","1228929"
"2014-09-11 20:00","1235721"
"2014-09-12 20:00","1242547"
"2014-09-13 20:00","1250463"
"2014-09-14 20:00","1259266"
"2014-09-15 20:00","1266974"
"2014-09-16 20:00","1276970"
"2014-09-17 20:00","1283018"
"2014-09-18 20:00","1289780"
"2014-09-19 20:00","1296910"
"2014-09-20 20:00","1305378"
"2014-09-21 20:00","1313357"
"2014-09-22 20:00","1321064"
"2014-09-23 20:00","1328510"
"2014-09-24 20:00","1335419"
"2014-09-25 20:00","1341651"
"2014-09-26 20:00","1347990"
"2014-09-27 20:00","1355242"
"2014-09-28 20:00","1362846"
"2014-09-29 20:00","1370188"
"2014-09-30 20:00","1377584"
"2014-10-01 20:00","1385509"
"2014-10-02 20:00","1392240"
"2014-10-03 20:00","1398754"
"2014-10-04 20:00","1407182"
"2014-10-05 20:00","1415237"
"2014-10-06 20:00","1422480"
"2014-10-07 20:00","1429943"
"2014-10-08 20:00","1437078"
"2014-10-09 20:00","1443152"
"2014-10-10 20:00","1450367"
"2014-10-11 20:00","1457869"
"2014-10-12 20:00","1465796"
"2014-10-13 20:00","1473160"
"2014-10-14 20:00","1481532"
"2014-10-15 20:00","1491130"
"2014-10-16 20:00","1499205"
"2014-10-17 20:00","1507587"
"2014-10-18 20:00","1517201"
"2014-10-19 20:00","1526267"
"2014-10-20 20:00","1536208"
"2014-10-21 20:00","1545457"
"2014-10-22 20:00","1553834"
"2014-10-23 20:00","1561131"
"2014-10-24 20:00","1568721"
"2014-10-25 20:00","1577186"
"2014-10-26 20:00","1585763"
"2014-10-27 20:00","1593913"
"2014-10-28 20:00","1602167"
